,Player,Pos,season_WAR,avg_ww_pWAS,avg_pWAS,games_played
53,Cengiz Under,M,-0.01188333333333332,-0.0084,-0.02028333333333332,1
50,Callum Hudson-Odoi,F,-0.01708333333333332,-0.054466666666666684,-0.07155,1
314,Sead Kolasinac,D,-0.018883333333333325,-0.02946666666666668,-0.048350000000000004,1
320,Sergio Aguero,F,-0.019499999999999962,-0.06618333333333336,-0.08568333333333332,1
172,Johann Gudmundsson,M,-0.020033333333333316,-0.028422222222222224,-0.0351,3
185,Joseph Willock,M,-0.020066666666666656,-0.05173333333333333,-0.07179999999999999,1
49,Caglar Soyuncu,D,-0.02038333333333333,-0.02266250000000001,-0.02775833333333334,4
249,Naby Keita,M,-0.02081666666666667,-0.05236111111111111,-0.0593,3
134,Ivan Cavaleiro,F,-0.022349999999999953,-0.04897333333333334,-0.05120833333333332,10
98,Erik Lamela,M,-0.02289999999999999,-0.06806666666666666,-0.09096666666666665,1
42,Bernardo Silva,M,-0.023783333333333337,-0.03833333333333333,-0.04309,5
255,Neal Maupay,F,-0.0238666666666668,-0.044570000000000005,-0.046956666666666674,10
260,Nicolas Pepe,F,-0.02486666666666664,-0.0548388888888889,-0.06312777777777778,3
261,Niels Nkounkou,D,-0.02914999999999998,-0.06815,-0.09729999999999998,1
226,Matej Vydra,F,-0.029833333333333344,-0.03518333333333332,-0.06501666666666667,1
179,Jonjoe Kenny,D,-0.03165,-0.06815,-0.0998,1
32,Aymeric Laporte,D,-0.03283333333333338,-0.0376625,-0.04587083333333335,4
38,Ben Osborn,M,-0.03476666666666665,-0.04047222222222223,-0.05206111111111111,3
328,Takumi Minamino,F,-0.03476666666666667,-0.025758333333333328,-0.04314166666666666,2
237,Maxime Le Marchand,D,-0.03499999999999999,-0.02348333333333334,-0.05848333333333333,1
222,Marvelous Nakamba,M,-0.03551666666666666,-0.0084,-0.04391666666666666,1
69,Dale Stephens,M,-0.03693333333333334,-0.04898333333333334,-0.06745000000000001,2
119,Giovani Lo Celso,M,-0.037083333333333315,-0.05859166666666667,-0.07713333333333333,2
139,Jack Stephens,D,-0.03911666666666665,-0.021500000000000002,-0.03453888888888889,3
141,Jacob Ramsey,M,-0.04198333333333332,-0.03566666666666668,-0.07765,1
88,Donny van de Beek,M,-0.043199999999999995,-0.05173333333333333,-0.09493333333333333,1
35,Ben Davies,D,-0.04373333333333332,-0.019743333333333335,-0.028490000000000005,5
252,Nathan Redmond,M,-0.04508333333333332,-0.02180555555555556,-0.036833333333333336,3
236,Max Lowe,D,-0.04669999999999995,-0.027937500000000004,-0.03961249999999999,4
51,Callum Robinson,F,-0.04709999999999999,-0.053297222222222225,-0.06114722222222222,6
70,Dan Burn,D,-0.048066666666666674,-0.03629333333333334,-0.04590666666666667,5
93,Emil Krafth,D,-0.04845000000000002,-0.037672222222222225,-0.05382222222222224,3
163,Joachim Andersen,D,-0.04873333333333333,-0.033389583333333334,-0.03948125,8
